TrackName                                                     AlbumName                                                     MediaType                    Genre             
Show Me How to Live                                           Audioslave                                                    MPEG audio file              Rock              

Gasoline                                                      Audioslave                                                    MPEG audio file              Rock              

What You Are                                                  Audioslave                                                    MPEG audio file              Rock              

Like a Stone                                                  Audioslave                                                    MPEG audio file              Rock              

Set It Off                                                    Audioslave                                                    MPEG audio file              Rock              

Shadow on the Sun                                             Audioslave                                                    MPEG audio file              Rock              

I am the Highway                                              Audioslave                                                    MPEG audio file              Rock              

Exploder                                                      Audioslave                                                    MPEG audio file              Rock              

Hypnotize                                                     Audioslave                                                    MPEG audio file              Rock              

Bring'em Back Alive                                           Audioslave                                                    MPEG audio file              Rock              

Light My Way                                                  Audioslave                                                    MPEG audio file              Rock              

Getaway Car                                                   Audioslave                                                    MPEG audio file              Rock              

The Last Remaining Light                                      Audioslave                                                    MPEG audio file              Rock              

Your Time Has Come                                            Out Of Exile                                                  MPEG audio file              Alternative & Punk

Out Of Exile                                                  Out Of Exile                                                  MPEG audio file              Alternative & Punk

Be Yourself                                                   Out Of Exile                                                  MPEG audio file              Alternative & Punk

Doesn't Remind Me                                             Out Of Exile                                                  MPEG audio file              Alternative & Punk

Drown Me Slowly                                               Out Of Exile                                                  MPEG audio file              Alternative & Punk

Heaven's Dead                                                 Out Of Exile                                                  MPEG audio file              Alternative & Punk

The Worm                                                      Out Of Exile                                                  MPEG audio file              Alternative & Punk

Man Or Animal                                                 Out Of Exile                                                  MPEG audio file              Alternative & Punk

Yesterday To Tomorrow                                         Out Of Exile                                                  MPEG audio file              Alternative & Punk

Dandelion                                                     Out Of Exile                                                  MPEG audio file              Alternative & Punk

#1 Zero                                                       Out Of Exile                                                  MPEG audio file              Alternative & Punk

The Curse                                                     Out Of Exile                                                  MPEG audio file              Alternative & Punk

Money                                                         BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Long Tall Sally                                               BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Bad Boy                                                       BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Twist And Shout                                               BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Please Mr. Postman                                            BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

C'Mon Everybody                                               BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Rock 'N' Roll Music                                           BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Slow Down                                                     BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Roadrunner                                                    BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Carol                                                         BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Good Golly Miss Molly                                         BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

20 Flight Rock                                                BackBeat Soundtrack                                           MPEG audio file              Rock And Roll     

Quadrant                                                      The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Snoopy's search-Red baron                                     The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Spanish moss-"A sound portrait"-Spanish moss                  The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Moon germs                                                    The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Stratus                                                       The Best Of Billy Cobham                                      MPEG audio file              Jazz              

The pleasant pheasant                                         The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Solo-Panhandler                                               The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Do what cha wanna                                             The Best Of Billy Cobham                                      MPEG audio file              Jazz              

Intro/ Low Down                                               Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

13 Years Of Grief                                             Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Stronger Than Death                                           Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

All For You                                                   Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Super Terrorizer                                              Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Phoney Smile Fake Hellos                                      Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Lost My Better Half                                           Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Bored To Tears                                                Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

A.N.D.R.O.T.A.Z.                                              Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Born To Booze                                                 Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

World Of Trouble                                              Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

No More Tears                                                 Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

The Begining... At Last                                       Alcohol Fueled Brewtality Live! [Disc 1]                      MPEG audio file              Metal             

Heart Of Gold                                                 Alcohol Fueled Brewtality Live! [Disc 2]                      MPEG audio file              Metal             

Snowblind                                                     Alcohol Fueled Brewtality Live! [Disc 2]                      MPEG audio file              Metal             

Like A Bird                                                   Alcohol Fueled Brewtality Live! [Disc 2]                      MPEG audio file              Metal             

Blood In The Wall                                             Alcohol Fueled Brewtality Live! [Disc 2]                      MPEG audio file              Metal             

The Beginning...At Last                                       Alcohol Fueled Brewtality Live! [Disc 2]                      MPEG audio file              Metal             

Black Sabbath                                                 Black Sabbath                                                 MPEG audio file              Metal             

The Wizard                                                    Black Sabbath                                                 MPEG audio file              Metal             

Behind The Wall Of Sleep                                      Black Sabbath                                                 MPEG audio file              Metal             

N.I.B.                                                        Black Sabbath                                                 MPEG audio file              Metal             

Evil Woman                                                    Black Sabbath                                                 MPEG audio file              Metal             

Sleeping Village                                              Black Sabbath                                                 MPEG audio file              Metal             

Warning                                                       Black Sabbath                                                 MPEG audio file              Metal             

Wheels Of Confusion / The Straightener                        Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Tomorrow's Dream                                              Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Changes                                                       Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

FX                                                            Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Supernaut                                                     Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Snowblind                                                     Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Cornucopia                                                    Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Laguna Sunrise                                                Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

St. Vitus Dance                                               Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Under The Sun/Every Day Comes and Goes                        Black Sabbath Vol. 4 (Remaster)                               MPEG audio file              Metal             

Smoked Pork                                                   Body Count                                                    MPEG audio file              Alternative & Punk

Body Count's In The House                                     Body Count                                                    MPEG audio file              Alternative & Punk

Now Sports                                                    Body Count                                                    MPEG audio file              Alternative & Punk

Body Count                                                    Body Count                                                    MPEG audio file              Alternative & Punk

A Statistic                                                   Body Count                                                    MPEG audio file              Alternative & Punk

Bowels Of The Devil                                           Body Count                                                    MPEG audio file              Alternative & Punk

The Real Problem                                              Body Count                                                    MPEG audio file              Alternative & Punk

KKK Bitch                                                     Body Count                                                    MPEG audio file              Alternative & Punk

D Note                                                        Body Count                                                    MPEG audio file              Alternative & Punk

Voodoo                                                        Body Count                                                    MPEG audio file              Alternative & Punk

The Winner Loses                                              Body Count                                                    MPEG audio file              Alternative & Punk

There Goes The Neighborhood                                   Body Count                                                    MPEG audio file              Alternative & Punk

Oprah                                                         Body Count                                                    MPEG audio file              Alternative & Punk

Evil Dick                                                     Body Count                                                    MPEG audio file              Alternative & Punk

Body Count Anthem                                             Body Count                                                    MPEG audio file              Alternative & Punk

Momma's Gotta Die Tonight                                     Body Count                                                    MPEG audio file              Alternative & Punk

Freedom Of Speech                                             Body Count                                                    MPEG audio file              Alternative & Punk

King In Crimson                                               Chemical Wedding                                              MPEG audio file              Metal             

Chemical Wedding                                              Chemical Wedding                                              MPEG audio file              Metal             

The Tower                                                     Chemical Wedding                                              MPEG audio file              Metal             

Killing Floor                                                 Chemical Wedding                                              MPEG audio file              Metal             

Book Of Thel                                                  Chemical Wedding                                              MPEG audio file              Metal             

Gates Of Urizen                                               Chemical Wedding                                              MPEG audio file              Metal             

Jerusalem                                                     Chemical Wedding                                              MPEG audio file              Metal             

Trupets Of Jericho                                            Chemical Wedding                                              MPEG audio file              Metal             

Machine Men                                                   Chemical Wedding                                              MPEG audio file              Metal             

The Alchemist                                                 Chemical Wedding                                              MPEG audio file              Metal             

Realword                                                      Chemical Wedding                                              MPEG audio file              Metal             

First Time I Met The Blues                                    The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Let Me Love You Baby                                          The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Stone Crazy                                                   The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Pretty Baby                                                   The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

When My Left Eye Jumps                                        The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Leave My Girl Alone                                           The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

She Suits Me To A Tee                                         The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Keep It To Myself (Aka Keep It To Yourself)                   The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

My Time After Awhile                                          The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Too Many Ways (Alternate)                                     The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Talkin' 'Bout Women Obviously                                 The Best Of Buddy Guy - The Millenium Collection              MPEG audio file              Blues             

Jorge Da Capadócia                                            Prenda Minha                                                  MPEG audio file              Latin             

Prenda Minha                                                  Prenda Minha                                                  MPEG audio file              Latin             

Meditação                                                     Prenda Minha                                                  MPEG audio file              Latin             

Terra                                                         Prenda Minha                                                  MPEG audio file              Latin             

Eclipse Oculto                                                Prenda Minha                                                  MPEG audio file              Latin             

Texto "Verdade Tropical"                                      Prenda Minha                                                  MPEG audio file              Latin             

Bem Devagar                                                   Prenda Minha                                                  MPEG audio file              Latin             

Drão                                                          Prenda Minha                                                  MPEG audio file              Latin             

Saudosismo                                                    Prenda Minha                                                  MPEG audio file              Latin             

Carolina                                                      Prenda Minha                                                  MPEG audio file              Latin             

Sozinho                                                       Prenda Minha                                                  MPEG audio file              Latin             

Esse Cara                                                     Prenda Minha                                                  MPEG audio file              Latin             

Mel                                                           Prenda Minha                                                  MPEG audio file              Latin             

Linha Do Equador                                              Prenda Minha                                                  MPEG audio file              Latin             

Odara                                                         Prenda Minha                                                  MPEG audio file              Latin             

A Luz De Tieta                                                Prenda Minha                                                  MPEG audio file              Latin             

Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu                Prenda Minha                                                  MPEG audio file              Latin             

Vida Boa                                                      Prenda Minha                                                  MPEG audio file              Latin             

Sozinho (Hitmakers Classic Mix)                               Sozinho Remix Ao Vivo                                         MPEG audio file              Latin             

Sozinho (Hitmakers Classic Radio Edit)                        Sozinho Remix Ao Vivo                                         MPEG audio file              Latin             

Sozinho (Caêdrum 'n' Bass)                                    Sozinho Remix Ao Vivo                                         MPEG audio file              Latin             

Carolina                                                      Minha Historia                                                MPEG audio file              Latin             

Essa Moça Ta Diferente                                        Minha Historia                                                MPEG audio file              Latin             

Vai Passar                                                    Minha Historia                                                MPEG audio file              Latin             

Samba De Orly                                                 Minha Historia                                                MPEG audio file              Latin             

Bye, Bye Brasil                                               Minha Historia                                                MPEG audio file              Latin             

Atras Da Porta                                                Minha Historia                                                MPEG audio file              Latin             

Tatuagem                                                      Minha Historia                                                MPEG audio file              Latin             

O Que Será (À Flor Da Terra)                                  Minha Historia                                                MPEG audio file              Latin             

Morena De Angola                                              Minha Historia                                                MPEG audio file              Latin             

Apesar De Você                                                Minha Historia                                                MPEG audio file              Latin             

A Banda                                                       Minha Historia                                                MPEG audio file              Latin             

