TrackName                                                     AlbumName                                                     MediaType                    Genre             

Calling Dr. Love                                              Greatest Kiss                                                 MPEG audio file              Rock              

Beth                                                          Greatest Kiss                                                 MPEG audio file              Rock              

Strutter                                                      Greatest Kiss                                                 MPEG audio file              Rock              

Rock And Roll All Nite                                        Greatest Kiss                                                 MPEG audio file              Rock              

Cold Gin                                                      Greatest Kiss                                                 MPEG audio file              Rock              

Plaster Caster                                                Greatest Kiss                                                 MPEG audio file              Rock              

God Gave Rock 'n' Roll To You                                 Greatest Kiss                                                 MPEG audio file              Rock              

Heart of the Night                                            Heart of the Night                                            MPEG audio file              Jazz              

De La Luz                                                     Heart of the Night                                            MPEG audio file              Jazz              

Westwood Moon                                                 Heart of the Night                                            MPEG audio file              Jazz              

Midnight                                                      Heart of the Night                                            MPEG audio file              Jazz              

Playtime                                                      Heart of the Night                                            MPEG audio file              Jazz              

Surrender                                                     Heart of the Night                                            MPEG audio file              Jazz              

Valentino's                                                   Heart of the Night                                            MPEG audio file              Jazz              

Believe                                                       Heart of the Night                                            MPEG audio file              Jazz              

As We Sleep                                                   Heart of the Night                                            MPEG audio file              Jazz              

When Evening Falls                                            Heart of the Night                                            MPEG audio file              Jazz              

J Squared                                                     Heart of the Night                                            MPEG audio file              Jazz              

Best Thing                                                    Heart of the Night                                            MPEG audio file              Jazz              

Maria                                                         International Superhits                                       MPEG audio file              Alternative & Punk

Poprocks And Coke                                             International Superhits                                       MPEG audio file              Alternative & Punk

Longview                                                      International Superhits                                       MPEG audio file              Alternative & Punk

Welcome To Paradise                                           International Superhits                                       MPEG audio file              Alternative & Punk

Basket Case                                                   International Superhits                                       MPEG audio file              Alternative & Punk

When I Come Around                                            International Superhits                                       MPEG audio file              Alternative & Punk

She                                                           International Superhits                                       MPEG audio file              Alternative & Punk

J.A.R. (Jason Andrew Relva)                                   International Superhits                                       MPEG audio file              Alternative & Punk

Geek Stink Breath                                             International Superhits                                       MPEG audio file              Alternative & Punk

Brain Stew                                                    International Superhits                                       MPEG audio file              Alternative & Punk

Jaded                                                         International Superhits                                       MPEG audio file              Alternative & Punk

Walking Contradiction                                         International Superhits                                       MPEG audio file              Alternative & Punk

Stuck With Me                                                 International Superhits                                       MPEG audio file              Alternative & Punk

Hitchin' A Ride                                               International Superhits                                       MPEG audio file              Alternative & Punk

Good Riddance (Time Of Your Life)                             International Superhits                                       MPEG audio file              Alternative & Punk

Redundant                                                     International Superhits                                       MPEG audio file              Alternative & Punk

Nice Guys Finish Last                                         International Superhits                                       MPEG audio file              Alternative & Punk

Minority                                                      International Superhits                                       MPEG audio file              Alternative & Punk

Warning                                                       International Superhits                                       MPEG audio file              Alternative & Punk

Waiting                                                       International Superhits                                       MPEG audio file              Alternative & Punk

Macy's Day Parade                                             International Superhits                                       MPEG audio file              Alternative & Punk

Into The Light                                                Into The Light                                                MPEG audio file              Rock              

River Song                                                    Into The Light                                                MPEG audio file              Rock              

She Give Me ...                                               Into The Light                                                MPEG audio file              Rock              

Don't You Cry                                                 Into The Light                                                MPEG audio file              Rock              

Love Is Blind                                                 Into The Light                                                MPEG audio file              Rock              

Slave                                                         Into The Light                                                MPEG audio file              Rock              

Cry For Love                                                  Into The Light                                                MPEG audio file              Rock              

Living On Love                                                Into The Light                                                MPEG audio file              Rock              

Midnight Blue                                                 Into The Light                                                MPEG audio file              Rock              

Too Many Tears                                                Into The Light                                                MPEG audio file              Rock              

Don't Lie To Me                                               Into The Light                                                MPEG audio file              Rock              

Wherever You May Go                                           Into The Light                                                MPEG audio file              Rock              

Grito De Alerta                                               Meus Momentos                                                 MPEG audio file              Latin             

Não Dá Mais Pra Segurar (Explode Coração)                     Meus Momentos                                                 MPEG audio file              Latin             

Começaria Tudo Outra Vez                                      Meus Momentos                                                 MPEG audio file              Latin             

O Que É O Que É ?                                             Meus Momentos                                                 MPEG audio file              Latin             

Sangrando                                                     Meus Momentos                                                 MPEG audio file              Latin             

Diga Lá, Coração                                              Meus Momentos                                                 MPEG audio file              Latin             

Lindo Lago Do Amor                                            Meus Momentos                                                 MPEG audio file              Latin             

Eu Apenas Queria Que Voçê Soubesse                            Meus Momentos                                                 MPEG audio file              Latin             

Com A Perna No Mundo                                          Meus Momentos                                                 MPEG audio file              Latin             

E Vamos À Luta                                                Meus Momentos                                                 MPEG audio file              Latin             

Um Homem Também Chora (Guerreiro Menino)                      Meus Momentos                                                 MPEG audio file              Latin             

Comportamento Geral                                           Meus Momentos                                                 MPEG audio file              Latin             

Ponto De Interrogação                                         Meus Momentos                                                 MPEG audio file              Latin             

Espere Por Mim, Morena                                        Meus Momentos                                                 MPEG audio file              Latin             

Meia-Lua Inteira                                              Minha Historia                                                MPEG audio file              Latin             

Voce e Linda                                                  Minha Historia                                                MPEG audio file              Latin             

Um Indio                                                      Minha Historia                                                MPEG audio file              Latin             

Podres Poderes                                                Minha Historia                                                MPEG audio file              Latin             

Voce Nao Entende Nada - Cotidiano                             Minha Historia                                                MPEG audio file              Latin             

O Estrangeiro                                                 Minha Historia                                                MPEG audio file              Latin             

Menino Do Rio                                                 Minha Historia                                                MPEG audio file              Latin             

Qualquer Coisa                                                Minha Historia                                                MPEG audio file              Latin             

Sampa                                                         Minha Historia                                                MPEG audio file              Latin             

Queixa                                                        Minha Historia                                                MPEG audio file              Latin             

O Leaozinho                                                   Minha Historia                                                MPEG audio file              Latin             

Fora Da Ordem                                                 Minha Historia                                                MPEG audio file              Latin             

Terra                                                         Minha Historia                                                MPEG audio file              Latin             

Alegria, Alegria                                              Minha Historia                                                MPEG audio file              Latin             

Balada Do Louco                                               Minha História                                                MPEG audio file              Alternative & Punk

Ando Meio Desligado                                           Minha História                                                MPEG audio file              Alternative & Punk

Top Top                                                       Minha História                                                MPEG audio file              Alternative & Punk

Baby                                                          Minha História                                                MPEG audio file              Alternative & Punk

A E O Z                                                       Minha História                                                MPEG audio file              Alternative & Punk

Panis Et Circenses                                            Minha História                                                MPEG audio file              Alternative & Punk

Chão De Estrelas                                              Minha História                                                MPEG audio file              Alternative & Punk

Vida De Cachorro                                              Minha História                                                MPEG audio file              Alternative & Punk

Bat Macumba                                                   Minha História                                                MPEG audio file              Alternative & Punk

Desculpe Babe                                                 Minha História                                                MPEG audio file              Alternative & Punk

Rita Lee                                                      Minha História                                                MPEG audio file              Alternative & Punk

Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O R  Minha História                                                MPEG audio file              Alternative & Punk
ock And Roll                                                                                                                                                               

Banho De Lua                                                  Minha História                                                MPEG audio file              Alternative & Punk

Meu Refrigerador Não Funciona                                 Minha História                                                MPEG audio file              Alternative & Punk

Burn                                                          MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Stormbringer                                                  MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Gypsy                                                         MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Lady Double Dealer                                            MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Mistreated                                                    MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Smoke On The Water                                            MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

You Fool No One                                               MK III The Final Concerts [Disc 1]                            MPEG audio file              Rock              

Custard Pie                                                   Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

The Rover                                                     Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

In My Time Of Dying                                           Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

Houses Of The Holy                                            Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

Trampled Under Foot                                           Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

Kashmir                                                       Physical Graffiti [Disc 1]                                    MPEG audio file              Rock              

Imperatriz                                                    Sambas De Enredo 2001                                         MPEG audio file              Latin             

Beija-Flor                                                    Sambas De Enredo 2001                                         MPEG audio file              Latin             

Viradouro                                                     Sambas De Enredo 2001                                         MPEG audio file              Latin             

Mocidade                                                      Sambas De Enredo 2001                                         MPEG audio file              Latin             

Unidos Da Tijuca                                              Sambas De Enredo 2001                                         MPEG audio file              Latin             

Salgueiro                                                     Sambas De Enredo 2001                                         MPEG audio file              Latin             

Mangueira                                                     Sambas De Enredo 2001                                         MPEG audio file              Latin             

União Da Ilha                                                 Sambas De Enredo 2001                                         MPEG audio file              Latin             

Grande Rio                                                    Sambas De Enredo 2001                                         MPEG audio file              Latin             

Portela                                                       Sambas De Enredo 2001                                         MPEG audio file              Latin             

Caprichosos                                                   Sambas De Enredo 2001                                         MPEG audio file              Latin             

Tradição                                                      Sambas De Enredo 2001                                         MPEG audio file              Latin             

Império Serrano                                               Sambas De Enredo 2001                                         MPEG audio file              Latin             

Tuiuti                                                        Sambas De Enredo 2001                                         MPEG audio file              Latin             

(Da Le) Yaleo                                                 Supernatural                                                  MPEG audio file              Rock              

Love Of My Life                                               Supernatural                                                  MPEG audio file              Rock              

Put Your Lights On                                            Supernatural                                                  MPEG audio file              Rock              

Africa Bamba                                                  Supernatural                                                  MPEG audio file              Rock              

Smooth                                                        Supernatural                                                  MPEG audio file              Rock              

Do You Like The Way                                           Supernatural                                                  MPEG audio file              Rock              

Maria Maria                                                   Supernatural                                                  MPEG audio file              Rock              

Migra                                                         Supernatural                                                  MPEG audio file              Rock              

Corazon Espinado                                              Supernatural                                                  MPEG audio file              Rock              

Wishing It Was                                                Supernatural                                                  MPEG audio file              Rock              

El Farol                                                      Supernatural                                                  MPEG audio file              Rock              

Primavera                                                     Supernatural                                                  MPEG audio file              Rock              

The Calling                                                   Supernatural                                                  MPEG audio file              Rock              

Solução                                                       The Best of Ed Motta                                          MPEG audio file              Latin             

Manuel                                                        The Best of Ed Motta                                          MPEG audio file              Latin             

Entre E Ouça                                                  The Best of Ed Motta                                          MPEG audio file              Latin             

Um Contrato Com Deus                                          The Best of Ed Motta                                          MPEG audio file              Latin             

Um Jantar Pra Dois                                            The Best of Ed Motta                                          MPEG audio file              Latin             

Vamos Dançar                                                  The Best of Ed Motta                                          MPEG audio file              Latin             

Um Love                                                       The Best of Ed Motta                                          MPEG audio file              Latin             

Seis Da Tarde                                                 The Best of Ed Motta                                          MPEG audio file              Latin             

Baixo Rio                                                     The Best of Ed Motta                                          MPEG audio file              Latin             

Sombras Do Meu Destino                                        The Best of Ed Motta                                          MPEG audio file              Latin             

Do You Have Other Loves?                                      The Best of Ed Motta                                          MPEG audio file              Latin             

Agora Que O Dia Acordou                                       The Best of Ed Motta                                          MPEG audio file              Latin             

Já!!!                                                         The Best of Ed Motta                                          MPEG audio file              Latin             

A Rua                                                         The Best of Ed Motta                                          MPEG audio file              Latin             

Now's The Time                                                The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Jeru                                                          The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Compulsion                                                    The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Tempus Fugit                                                  The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Walkin'                                                       The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

'Round Midnight                                               The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Bye Bye Blackbird                                             The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

New Rhumba                                                    The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Generique                                                     The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Summertime                                                    The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

So What                                                       The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

The Pan Piper                                                 The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

Someday My Prince Will Come                                   The Essential Miles Davis [Disc 1]                            MPEG audio file              Jazz              

My Funny Valentine (Live)                                     The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

E.S.P.                                                        The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Nefertiti                                                     The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Petits Machins (Little Stuff)                                 The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Miles Runs The Voodoo Down                                    The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Little Church (Live)                                          The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Black Satin                                                   The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Jean Pierre (Live)                                            The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Time After Time                                               The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Portia                                                        The Essential Miles Davis [Disc 2]                            MPEG audio file              Jazz              

Space Truckin'                                                The Final Concerts (Disc 2)                                   MPEG audio file              Rock              

Going Down / Highway Star                                     The Final Concerts (Disc 2)                                   MPEG audio file              Rock              

Mistreated (Alternate Version)                                The Final Concerts (Disc 2)                                   MPEG audio file              Rock              

You Fool No One (Alternate Version)                           The Final Concerts (Disc 2)                                   MPEG audio file              Rock              

Jeepers Creepers                                              Up An' Atom                                                   MPEG audio file              Jazz              

Blue Rythm Fantasy                                            Up An' Atom                                                   MPEG audio file              Jazz              

Drum Boogie                                                   Up An' Atom                                                   MPEG audio file              Jazz              

Let Me Off Uptown                                             Up An' Atom                                                   MPEG audio file              Jazz              

Leave Us Leap                                                 Up An' Atom                                                   MPEG audio file              Jazz              

Opus No.1                                                     Up An' Atom                                                   MPEG audio file              Jazz              

Boogie Blues                                                  Up An' Atom                                                   MPEG audio file              Jazz              

How High The Moon                                             Up An' Atom                                                   MPEG audio file              Jazz              

Disc Jockey Jump                                              Up An' Atom                                                   MPEG audio file              Jazz              

Up An' Atom                                                   Up An' Atom                                                   MPEG audio file              Jazz              

Bop Boogie                                                    Up An' Atom                                                   MPEG audio file              Jazz              

Lemon Drop                                                    Up An' Atom                                                   MPEG audio file              Jazz              

Coronation Drop                                               Up An' Atom                                                   MPEG audio file              Jazz              

Overtime                                                      Up An' Atom                                                   MPEG audio file              Jazz              

Imagination                                                   Up An' Atom                                                   MPEG audio file              Jazz              

Don't Take Your Love From Me                                  Up An' Atom                                                   MPEG audio file              Jazz              

Midget                                                        Up An' Atom                                                   MPEG audio file              Jazz              

I'm Coming Virginia                                           Up An' Atom                                                   MPEG audio file              Jazz              

Payin' Them Dues Blues                                        Up An' Atom                                                   MPEG audio file              Jazz              

Jungle Drums                                                  Up An' Atom                                                   MPEG audio file              Jazz              

Showcase                                                      Up An' Atom                                                   MPEG audio file              Jazz              

Swedish Schnapps                                              Up An' Atom                                                   MPEG audio file              Jazz              

Samba Da Bênção                                               Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Pot-Pourri N.º 4                                              Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Onde Anda Você                                                Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Samba Da Volta                                                Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Canto De Ossanha                                              Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Pot-Pourri N.º 5                                              Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Formosa                                                       Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Como É Duro Trabalhar                                         Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Minha Namorada                                                Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Por Que Será                                                  Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Berimbau                                                      Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Deixa                                                         Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Pot-Pourri N.º 2                                              Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Samba Em Prelúdio                                             Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Carta Ao Tom 74                                               Vinícius De Moraes - Sem Limite                               MPEG audio file              Bossa Nova        

Linha de Passe (João Bosco)                                   Vozes do MPB                                                  MPEG audio file              Latin             

Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)                  Vozes do MPB                                                  MPEG audio file              Latin             

Chão de Giz (Elba Ramalho)                                    Vozes do MPB                                                  MPEG audio file              Latin             

Marina (Dorival Caymmi)                                       Vozes do MPB                                                  MPEG audio file              Latin             

Aquarela (Toquinho)                                           Vozes do MPB                                                  MPEG audio file              Latin             

Coração do Agreste (Fafá de Belém)                            Vozes do MPB                                                  MPEG audio file              Latin             

Dona (Roupa Nova)                                             Vozes do MPB                                                  MPEG audio file              Latin             

Começaria Tudo Outra Vez (Maria Creuza)                       Vozes do MPB                                                  MPEG audio file              Latin             

Caçador de Mim (Sá & Guarabyra)                               Vozes do MPB                                                  MPEG audio file              Latin             

Romaria (Renato Teixeira)                                     Vozes do MPB                                                  MPEG audio file              Latin             

As Rosas Não Falam (Beth Carvalho)                            Vozes do MPB                                                  MPEG audio file              Latin             

Wave (Os Cariocas)                                            Vozes do MPB                                                  MPEG audio file              Latin             

Garota de Ipanema (Dick Farney)                               Vozes do MPB                                                  MPEG audio file              Latin             

Preciso Apender a Viver Só (Maysa)                            Vozes do MPB                                                  MPEG audio file              Latin             

Susie Q                                                       Chronicle, Vol. 1                                             MPEG audio file              Rock              

I Put A Spell On You                                          Chronicle, Vol. 1                                             MPEG audio file              Rock              

Proud Mary                                                    Chronicle, Vol. 1                                             MPEG audio file              Rock              

Bad Moon Rising                                               Chronicle, Vol. 1                                             MPEG audio file              Rock              

Lodi                                                          Chronicle, Vol. 1                                             MPEG audio file              Rock              

Green River                                                   Chronicle, Vol. 1                                             MPEG audio file              Rock              

Commotion                                                     Chronicle, Vol. 1                                             MPEG audio file              Rock              

Down On The Corner                                            Chronicle, Vol. 1                                             MPEG audio file              Rock              

Fortunate Son                                                 Chronicle, Vol. 1                                             MPEG audio file              Rock              

Travelin' Band                                                Chronicle, Vol. 1                                             MPEG audio file              Rock              

Who'll Stop The Rain                                          Chronicle, Vol. 1                                             MPEG audio file              Rock              

Up Around The Bend                                            Chronicle, Vol. 1                                             MPEG audio file              Rock              

Run Through The Jungle                                        Chronicle, Vol. 1                                             MPEG audio file              Rock              

Lookin' Out My Back Door                                      Chronicle, Vol. 1                                             MPEG audio file              Rock              

Long As I Can See The Light                                   Chronicle, Vol. 1                                             MPEG audio file              Rock              

I Heard It Through The Grapevine                              Chronicle, Vol. 1                                             MPEG audio file              Rock              

Have You Ever Seen The Rain?                                  Chronicle, Vol. 1                                             MPEG audio file              Rock              

Hey Tonight                                                   Chronicle, Vol. 1                                             MPEG audio file              Rock              

Sweet Hitch-Hiker                                             Chronicle, Vol. 1                                             MPEG audio file              Rock              

Someday Never Comes                                           Chronicle, Vol. 1                                             MPEG audio file              Rock              

Walking On The Water                                          Chronicle, Vol. 2                                             MPEG audio file              Rock              

Suzie-Q, Pt. 2                                                Chronicle, Vol. 2                                             MPEG audio file              Rock              

Born On The Bayou                                             Chronicle, Vol. 2                                             MPEG audio file              Rock              

Good Golly Miss Molly                                         Chronicle, Vol. 2                                             MPEG audio file              Rock              

Tombstone Shadow                                              Chronicle, Vol. 2                                             MPEG audio file              Rock              

Wrote A Song For Everyone                                     Chronicle, Vol. 2                                             MPEG audio file              Rock              

Night Time Is The Right Time                                  Chronicle, Vol. 2                                             MPEG audio file              Rock              

Cotton Fields                                                 Chronicle, Vol. 2                                             MPEG audio file              Rock              

It Came Out Of The Sky                                        Chronicle, Vol. 2                                             MPEG audio file              Rock              

Don't Look Now                                                Chronicle, Vol. 2                                             MPEG audio file              Rock              

The Midnight Special                                          Chronicle, Vol. 2                                             MPEG audio file              Rock              

Before You Accuse Me                                          Chronicle, Vol. 2                                             MPEG audio file              Rock              

My Baby Left Me                                               Chronicle, Vol. 2                                             MPEG audio file              Rock              
